symbol,close,rsi,adx,tech_rating,perf_1m,above_sma200,score
CUB,216.76,67.96591329255509,30.918440269375196,Buy,15.443712136342455,True,6
REDINGTON,275.0,62.30981866628171,42.25429392830806,Buy,14.654992703773194,True,6
CARBORUNIV,1139.6,54.71158691906032,43.37808323628068,Buy,10.651519565006293,True,6
GRINDWELL,2088.5,56.38313968657039,55.217278123815774,Buy,12.904097740296251,True,6
KPIL,1384.0,58.195238607008335,33.1250805149601,Buy,6.7324747435798535,True,6
ZYDUSLIFE,1140.6,66.88066510859277,40.42022753040136,Strong buy,5.797235877933402,True,6
DRREDDY,1374.1,67.03591829409577,25.75372363482283,Strong buy,8.23946435604568,True,6
KIRLOSENG,2230.8,57.73093409056887,43.37169359917157,Buy,19.160301265958037,True,6
ABSLAMC,1178.4,58.91177571130641,37.55033239538593,Buy,15.529411764705891,True,6
EMCURE,1839.1,60.07781649698435,35.840818698946656,Buy,7.0488940628637895,True,6
STARHEALTH,580.3,66.4657128500738,46.03485635062287,Buy,8.680588070043994,True,6
PIDILITIND,1598.0,67.61303602917039,39.12472837946749,Buy,10.20689655172414,True,6
WOCKPHARMA,1938.5,54.39967533780656,31.34188478413616,Buy,-1.9969666329625888,True,6
NIACL,185.82,58.40694381274516,29.39324500399623,Buy,25.342327150084312,True,6
HFCL,214.48,66.53332406426078,48.28882713634647,Buy,12.943654555028951,True,6
SYRMA,1376.0,63.21011578213569,53.78267186599919,Buy,17.406143344709896,True,6
RRKABEL,2343.3,60.60797454095831,41.81798725821479,Buy,15.718518518518527,True,6
CHOLAFIN,1789.8,68.53168016757526,34.25720052698852,Buy,19.799196787148592,True,6
ACMESOLAR,383.25,69.45128860843568,46.55891130153172,Buy,14.402985074626866,True,6
MOTHERSON,146.3,55.33570404627284,37.29510640029688,Buy,1.119712468896879,True,6
SAILIFE,1257.3,64.56706266662573,26.69104127401118,Strong buy,11.660746003552395,True,6
ADANIGREEN,1556.2,62.82507738834341,34.95146239775451,Buy,7.324137931034485,True,6
ASIANPAINT,2737.8,59.786113402357,28.347954102421262,Buy,3.231401530862346,True,6
FEDERALBNK,327.4,66.3213398223314,38.90325819957444,Buy,11.379486307195098,True,6
AUBANK,1058.4,60.7719399038284,26.176703595734125,Strong buy,8.509329505843768,True,6
