symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
NIFTY,31545,73894847,73926392,501231.3282275,117404564652819.6,3298729.7864234997,8510143,24366.0
BANKNIFTY,14261,2476950,2491211,247062.780225,4311895228370.1,487745.11392599996,1271705,57491.1
BHARTIARTL,20488,343575,364063,193739.4862825,329244028657.75,223836.54786,197733,1992.1
ASHOKLEY,17134,174051,191185,150056.266,158458718800.0,172979.579,73993,171.64
BDL,23079,245840,268919,136204.25143,149762138974.75,166416.7511775,49344,1398.0
IDEA,14677,55325,70002,147462.44547,57567261556.5,160932.724035,121397,14.11
SOLARINDS,11991,295692,307683,119429.204985,300876740376.5,154597.10875,53208,19969.0
TMPV,24580,220275,244855,131229.56656,122323593856.0,145837.66512,125746,334.5
APOLLOHOSP,9117,311751,320868,100895.6747375,351738023056.25,137787.7803,59430,8920.5
JUBLFOOD,15847,193438,209285,100644.145125,125497151100.0,122335.031125,55818,504.1
ICICIBANK,11268,87480,98748,111626.8741,88198753328.0,119718.58738,230642,1417.0
BSE,13131,143185,156316,90938.2267,104512336060.0,105103.1873,167442,3447.0
RELIANCE,14296,186234,200530,93688.53465,124640248185.0,104480.7665,487482,1310.0
AMBER,12053,198317,210370,87234.69816,146126655711.0,104198.25527,50417,7222.0
MFSL,13110,132997,146107,81284.15604,84298246720.0,95049.58324,37145,1538.1
HDFCBANK,17613,194050,211663,83720.031655,95632307381.0,93731.180465,1023748,727.0
INFY,18250,107859,126109,85517.35728,50818309972.0,91619.097,383668,1169.2
SBIN,9573,159854,169427,77084.891625,131900899642.5,88898.86305,305870,1067.7
ETERNAL,10170,82012,92182,79138.843405,64804972815.25,88692.9828075,116654,318.5
PAGEIND,9778,190072,199850,73011.486918,145819131298.2,86389.5999,41747,36750.0
BHEL,6009,71347,77356,67172.2020375,81796227948.75,81423.662775,54815,421.7
JIOFIN,12310,80205,92515,72813.15341,49625903042.5,79458.496335,194017,249.05
PAYTM,5623,68521,74144,66456.3245275,81462082127.75,79138.550805,80661,1603.0
LAURUSLABS,4667,36896,41563,71671.906755,57141651778.0,77934.474535,49629,1787.3
ADANIENT,6753,68263,75016,63207.766425600006,65166301675.62,73398.3706818,83198,3035.1
NATIONALUM,8036,100334,108370,57174.8799375,74364819375.0,68224.1986875,62997,376.0
HAL,6998,146432,153430,52734.86679,112597959616.5,68018.237955,110820,5029.9
TRENT,8911,58178,67089,60289.141635,40658230831.5,65786.65245,107077,2978.0
VOLTAS,10257,139597,149854,50937.0005625,71640168858.75,65584.31415,48161,1320.5
ALKEM,7864,124957,132821,52623.203325,86183583332.5,63270.03665,30160,5368.0
PERSISTENT,7791,65913,73704,54253.503475,46746467918.75,62307.4326625,54663,5580.0
ADANIPORTS,6791,72378,79169,54592.860455,59192443758.25,61408.2130375,99188,1700.0
ADANIENSOL,4999,28719,33718,54387.24588,32201009453.25,59676.9454125,45376,1616.0
TCS,9755,111926,121681,51867.2053575,60807674326.5,58667.7636225,272932,2361.0
HINDALCO,7264,70925,78189,52439.36166,52528100702.0,58308.74868,119666,1029.5
AXISBANK,7039,54498,61537,53668.2006875,42630198225.0,57501.0579375,222391,1217.4
TATAPOWER,8430,74404,82834,47401.24066,42530297840.5,52742.531565,82289,382.05
OFSS,3688,46934,50622,43184.33365,56266248691.0,51930.32056,33368,11828.0
TATASTEEL,9154,63199,72353,45992.4157,32761812847.5,49941.387925,146236,183.5
MCX,6411,56369,62780,42582.3262425,38221562601.0,49012.7397525,91924,2911.5
DIXON,5721,87148,92869,40401.356305,63346610474.5,48518.86105,123996,14130.0
TECHM,4374,17559,21933,42791.3907,17614416072.0,44659.45542,50269,1632.8
MAXHEALTH,7501,55090,62591,39769.0665225,30006709099.5,43587.2150175,45279,1008.6
APLAPOLLO,5490,29047,34537,40151.91621,21440829585.0,43169.87206,33050,2083.3
HINDZINC,5470,55804,61274,37763.52335,40099111192.0,42523.11777,66676,561.9
MARUTI,5330,92883,98213,37066.11625,65897586077.0,42511.72702,114097,13834.0
CANBK,4520,14751,19271,39882.756375,13345097827.5,41817.94965,82977,131.25
SWIGGY,7527,25120,32647,38027.36586,13456069140.25,40117.0560125,87547,276.3
DRREDDY,5170,12832,18002,38590.8278125,9755605450.0,39550.3198125,57584,1200.0
INDUSTOWER,5492,26975,32467,36182.96626,17911165626.0,38287.46052,84016,384.35
BEL,5691,48768,54459,33377.389395,29108689263.0,37264.082025,152373,410.8
UNIONBANK,4186,16252,20438,34823.494185,13746218958.0,37090.98189,46501,187.38
POWERINDIA,3384,60648,64032,30327.41483,54386142292.75,36764.5877575,67241,35700.0
M&M,4862,46807,51669,33214.15184,32663961208.0,36520.10392,131556,3428.3
HINDPETRO,4161,9595,13756,31474.26153,7369880377.5,32455.5937425,33823,373.5
BAJFINANCE,3579,34634,38213,29446.12635,29150636385.0,32243.9652,155769,1087.0
MIDCPNIFTY,901,176038,176939,16252.850148,318463026988.8,32081.670036,128939,14971.75
MAZDOCK,4600,49183,53783,26802.83079,29541718098.0,31930.41177,53907,2580.0
SHRIRAMFIN,3193,18160,21353,29705.8773,17277822663.75,31814.3739375,61652,1122.0
RECLTD,5467,36534,42001,28997.2558575,20038358875.5,31202.6108625,57496,335.0
