symbol,date,open,high,low,close,volume
MILKYMIST,2026-08-18,165.0,181.5,165.0,181.5,92269979
MILKYMIST,2026-08-19,190.0,199.65,190.0,199.65,29368751
MILKYMIST,2026-08-20,207.8,211.8,181.5,184.89,56542171
MILKYMIST,2026-08-21,190.0,194.7,183.51,189.22,32756478
MILKYMIST,2026-08-24,191.0,199.1,186.23,196.66,19647276
MILKYMIST,2026-08-25,198.0,205.7,197.0,201.92,15543026
MILKYMIST,2026-08-26,201.9,222.11,198.06,222.11,20878033
MILKYMIST,2026-08-27,227.39,233.8,212.66,217.31,59235093
MILKYMIST,2026-08-28,215.0,217.26,210.1,214.31,14621198
MILKYMIST,2026-08-31,218.75,222.0,206.4,210.94,13349862
MILKYMIST,2026-09-01,230.79,232.03,221.92,232.03,23925717
MILKYMIST,2026-09-02,234.0,255.23,228.36,252.04,56560370
MILKYMIST,2026-09-03,250.62,268.69,246.35,252.89,44203953
MILKYMIST,2026-09-04,255.0,260.59,249.5,252.43,14599282
MILKYMIST,2026-09-07,255.06,277.67,248.56,276.01,35261875
MILKYMIST,2026-09-08,278.0,288.45,270.65,275.97,15671478
MILKYMIST,2026-09-09,274.94,274.94,262.18,265.56,8108465
MILKYMIST,2026-09-10,267.0,278.83,265.32,278.83,8013334
MILKYMIST,2026-09-11,279.0,292.77,276.83,292.77,8807785
MILKYMIST,2026-09-14,292.77,292.77,292.77,292.77,0
MILKYMIST,2026-09-15,290.0,304.7,278.14,278.14,10778708
MILKYMIST,2026-09-16,270.0,281.7,264.24,276.23,13428031
MILKYMIST,2026-09-17,276.01,282.7,270.06,274.76,3974674
MILKYMIST,2026-09-18,276.13,283.98,271.5,274.07,5036730
MILKYMIST,2026-09-21,276.0,287.77,274.22,287.77,5777865
MILKYMIST,2026-09-22,293.2,302.15,291.2,302.15,11275606
MILKYMIST,2026-09-23,307.0,317.25,306.15,317.25,4163501
MILKYMIST,2026-09-24,323.0,333.11,305.1,309.16,9525794
MILKYMIST,2026-09-25,314.9,323.6,313.0,318.0,509589
