symbol,date,open,high,low,close,volume
RUBYMILLS,2002-07-05,31.25,31.25,31.25,31.25,4
RUBYMILLS,2002-07-08,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-09,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-10,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-11,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-12,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-15,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-16,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-17,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-18,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-19,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-22,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-23,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-24,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-25,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-26,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-29,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-30,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-07-31,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-01,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-02,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-05,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-06,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-07,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-08,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-09,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-12,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-13,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-14,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-15,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-16,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-19,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-20,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-21,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-22,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-23,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-26,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-27,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-28,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-29,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-08-30,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-09-02,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-09-03,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-09-04,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-09-05,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-09-06,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-09-09,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-09-10,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-09-11,31.25,31.25,31.25,31.25,0
RUBYMILLS,2002-09-12,31.25,31.25,31.25,31.25,0
