symbol,yf_ticker,reason
AMARJOTHI,AMARJOTHI.NS,no_ohlc_after_retry
ANAWIL,ANAWIL.NS,no_ohlc_after_retry
ANDREWYU,ANDREWYU.NS,no_ohlc_after_retry
AVATAR,AVATAR.NS,no_ohlc_after_retry
BLEL,BLEL.NS,no_ohlc_after_retry
CFEL,CFEL.NS,no_ohlc_after_retry
CRSL,CRSL.NS,no_ohlc_after_retry
DIRL,DIRL.NS,no_ohlc_after_retry
GKB,GKB.NS,no_ohlc_after_retry
HAZOOR,HAZOOR.NS,no_ohlc_after_retry
IPRINGLTD,IPRINGLTD.NS,no_ohlc_after_retry
KSE,KSE.NS,no_ohlc_after_retry
LAKSHMIMIL,LAKSHMIMIL.NS,no_ohlc_after_retry
LANCER,LANCER.NS,no_ohlc_after_retry
METALIC,METALIC.NS,no_ohlc_after_retry
NEELAM,NEELAM.NS,no_ohlc_after_retry
OPTIMYSTIX,OPTIMYSTIX.NS,no_ohlc_after_retry
PRAMODINI,PRAMODINI.NS,no_ohlc_after_retry
PROPSHOP,PROPSHOP.NS,no_ohlc_after_retry
SAB,SAB.NS,no_ohlc_after_retry
SAMBANDAM,SAMBANDAM.NS,no_ohlc_after_retry
SHERVANI,SHERVANI.NS,no_ohlc_after_retry
SHIPROCKET,SHIPROCKET.NS,no_ohlc_after_retry
SIMPLXREA,SIMPLXREA.NS,no_ohlc_after_retry
SUPTANERY,SUPTANERY.NS,no_ohlc_after_retry
VADILENT,VADILENT.NS,no_ohlc_after_retry
VIRTUALG,VIRTUALG.NS,no_ohlc_after_retry
VISDEM,VISDEM.NS,no_ohlc_after_retry
VTMLTD,VTMLTD.NS,no_ohlc_after_retry
WATERBASE,WATERBASE.NS,no_ohlc_after_retry
