symbol,ex_date,record_date,purpose,face_value,series
TRIVENI,31-Aug-2026,31-Aug-2026,Dividend - Rs 1.25 Per Share,1,EQ
GANESHHOU,31-Aug-2026,31-Aug-2026,Dividend - Rs 1.50 Per Share,10,EQ
SWANCORP,28-Aug-2026,28-Aug-2026,Dividend - Re 0.15 Per Share,1,EQ
THOMASCOOK,27-Aug-2026,27-Aug-2026,Dividend - Rs 0.50 Per Share,1,EQ
POWERINDIA,21-Aug-2026,21-Aug-2026,Dividend - Rs 8 Per Share,2,EQ
GVT&D,21-Aug-2026,21-Aug-2026,Dividend - Rs 10 Per Share,2,EQ
ZENTEC,21-Aug-2026,21-Aug-2026,Dividend - Re 1 Per Share,1,EQ
GILLETTE,19-Aug-2026,19-Aug-2026,Dividend - Rs 60 Per Share,10,EQ
SKIPPER,17-Aug-2026,17-Aug-2026,Dividend - Re 0.10 Per Share,1,EQ
GPIL,14-Aug-2026,14-Aug-2026,Dividend - Re 1 Per Share,1,EQ
HINDPETRO,14-Aug-2026,14-Aug-2026,Dividend - Rs 19.25 Per Share,10,EQ
NCC,14-Aug-2026,14-Aug-2026,Dividend - Rs 2.20 Per Share,2,EQ
RAMCOCEM,13-Aug-2026,13-Aug-2026,Dividend - Rs 2.50 Per Share,1,EQ
RATNAMANI,11-Aug-2026,11-Aug-2026,Dividend - Rs 10 Per Share,2,EQ
GLAND,11-Aug-2026,11-Aug-2026,Dividend - Rs 20 Per Sh,1,EQ
ABLBL,07-Aug-2026,07-Aug-2026,Dividend - Re 0.50 Per Share,10,EQ
UBL,07-Aug-2026,07-Aug-2026,Dividend - Rs 10 Per Share,1,EQ
MARUTI,07-Aug-2026,07-Aug-2026,Dividend - Rs 140 Per Share,5,EQ
TIINDIA,07-Aug-2026,07-Aug-2026,Dividend - Rs 1.50  Per Share,1,EQ
LUMAXTECH,06-Aug-2026,06-Aug-2026,Dividend - Rs 5.50 Per Share,2,EQ
LUMAXIND,06-Aug-2026,06-Aug-2026,Dividend - Rs 55 Per Share,10,EQ
LINDEINDIA,06-Aug-2026,06-Aug-2026,Dividend - Rs 4 Per Share/Special Dividend - 8 Per Share,10,EQ
BERGEPAINT,05-Aug-2026,05-Aug-2026,Dividend - Rs 4 Per Share,1,EQ
BOSCHLTD,04-Aug-2026,04-Aug-2026,Dividend - Rs 270 Per Share,10,EQ
PFC,31-Jul-2026,31-Jul-2026,Dividend - Rs 3.95 Per Share,10,EQ
VGUARD,31-Jul-2026,31-Jul-2026,Dividend - Rs 1.50 Per Share,1,EQ
TIMKEN,31-Jul-2026,31-Jul-2026,Dividend - Rs 2.50 Per Share,10,EQ
CELLO,31-Jul-2026,31-Jul-2026,Dividend - Rs 1.50 Per Share,5,EQ
BOMDYEING,31-Jul-2026,31-Jul-2026,Dividend - Rs 0.40 Per Share,2,EQ
EIHOTEL,31-Jul-2026,31-Jul-2026,Dividend - Rs 1.50 Per Share,2,EQ
