symbol,ex_date,record_date,purpose,face_value,series
TRIVENI,31-Aug-2026,31-Aug-2026,Dividend - Rs 1.25 Per Share,1,EQ
GANESHHOU,31-Aug-2026,31-Aug-2026,Dividend - Rs 1.50 Per Share,10,EQ
SWANCORP,28-Aug-2026,28-Aug-2026,Dividend - Re 0.15 Per Share,1,EQ
DYNAMATECH,28-Aug-2026,28-Aug-2026,Dividend - Rs 5 Per Share,10,EQ
THOMASCOOK,27-Aug-2026,27-Aug-2026,Dividend - Rs 0.50 Per Share,1,EQ
POWERINDIA,21-Aug-2026,21-Aug-2026,Dividend - Rs 8 Per Share,2,EQ
PGHL,21-Aug-2026,21-Aug-2026,Dividend - Rs 45 Per Share,10,EQ
VISHNU,21-Aug-2026,21-Aug-2026,Dividend - Re 0.30 Per Share,2,EQ
ZENTEC,21-Aug-2026,21-Aug-2026,Dividend - Re 1 Per Share,1,EQ
LICHSGFIN,21-Aug-2026,21-Aug-2026,Dividend - Rs 10 Per Share,2,EQ
GVT&D,21-Aug-2026,21-Aug-2026,Dividend - Rs 10 Per Share,2,EQ
MARKSANS,20-Aug-2026,20-Aug-2026,Dividend - Re 0.90 Per Share,1,EQ
LGBBROSLTD,19-Aug-2026,19-Aug-2026,Dividend - Rs 22 Per Share,10,EQ
GILLETTE,19-Aug-2026,19-Aug-2026,Dividend - Rs 60 Per Share,10,EQ
SKIPPER,17-Aug-2026,17-Aug-2026,Dividend - Re 0.10 Per Share,1,EQ
BANDHANBNK,17-Aug-2026,17-Aug-2026,Dividend - Rs 1.50 Per Share,10,EQ
NCC,14-Aug-2026,14-Aug-2026,Dividend - Rs 2.20 Per Share,2,EQ
MANGLMCEM,14-Aug-2026,14-Aug-2026,Dividend - Rs 1.50 Per Share,10,EQ
GPIL,14-Aug-2026,14-Aug-2026,Dividend - Re 1 Per Share,1,EQ
SURYALA,14-Aug-2026,14-Aug-2026,Dividend - Rs 2 Per Share,10,EQ
HINDPETRO,14-Aug-2026,14-Aug-2026,Dividend - Rs 19.25 Per Share,10,EQ
MINDACORP,14-Aug-2026,14-Aug-2026,Dividend - Re 0.80 Per Share,2,EQ
USHAMART,13-Aug-2026,13-Aug-2026,Dividend - Rs 3.75 Per Share,1,EQ
RAMCOCEM,13-Aug-2026,13-Aug-2026,Dividend - Rs 2.50 Per Share,1,EQ
CAMS,12-Aug-2026,12-Aug-2026,Interim Dividend - Rs 2.50 Per Share,2,EQ
NHPC,12-Aug-2026,12-Aug-2026,Dividend - Re 0.21 Per Sh,10,EQ
HGINFRA,12-Aug-2026,12-Aug-2026,Dividend - Rs 2 Per Share,10,EQ
VAIBHAVGBL,12-Aug-2026,12-Aug-2026,Interim Dividend - Rs 1.50 Per Share,2,EQ
SUDARSCHEM,11-Aug-2026,11-Aug-2026,Dividend - Rs 5 Per Share,2,EQ
GODFRYPHLP,11-Aug-2026,11-Aug-2026,Dividend - Rs 33 Per Sh,2,EQ
